molecule_chembl_id,SMILES,target_chembl_id
CHEMBL596380,O=[N+]([O-])/C=C/c1ccc2c(c1)OCO2,
CHEMBL2104261,Cc1ccc(/C=C2/C(=O)C3(C)CCC2C3(C)C)cc1,
CHEMBL90769,C=CCN1CCN(c2nc3ccccc3nc2C#N)CC1,
CHEMBL540034,CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2.Cl,
CHEMBL1322301,Cc1cc(C(=O)O)sc1C(N)C(=O)O,
CHEMBL301707,COc1ccccc1N1CCN(CCn2c(=O)[nH]c3c([nH]c4ccccc43)c2=O)CC1,
CHEMBL1552961,CN1[C@@H]2CC[C@H]1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,
CHEMBL85799,C[C@]12CC[C@@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,
CHEMBL81977,NC(=O)c1cccc(N)c1,
CHEMBL2357012,OCCCNc1ccccc1,
CHEMBL479014,O=[N+]([O-])c1cccc2c(Br)n[nH]c12,
CHEMBL4303364,CC12CCC(C(Br)C1=O)C2(C)C,
CHEMBL177837,O=C(O)C(=O)CBr,
CHEMBL128772,N[C@H](C(=O)O)c1ccc(O)c(C(=O)O)c1,
CHEMBL202701,Nc1nccc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,
CHEMBL154745,Nc1nccc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,
CHEMBL4303634,CCC(O)(CC(N)=O)c1ccccc1,
CHEMBL582878,O=C(O)CCCc1c[nH]c2ccccc12,
CHEMBL275655,CC(CN)CC(=O)O,
CHEMBL292268,Cn1cnc(N)c2ncnc1-2,
CHEMBL3105848,O=C(/C=C/c1cccnc1)c1ccncc1,
CHEMBL416898,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,
CHEMBL2078948,C1CCC2(CC1)CCNCC2,
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,
CHEMBL19259,O=C(c1ccc(F)cc1)C1CCN(CCCCc2ccccc2)CC1,
CHEMBL610463,CC(C)C(C(=O)Nc1nccs1)c1ccc(Cl)cc1,
CHEMBL76897,C[N+]1(C)CCC(OC(=O)C(c2ccccc2)c2ccccc2)CC1.[I-],
CHEMBL266540,O=c1[nH]cnc2ccccc12,
CHEMBL50112,O=C(NC1CCN(Cc2ccccc2)CC1)c1ccc(I)cc1,
CHEMBL1402435,CCC(=O)N[C@@H]1Cc2ccccc2[C@@H](c2ccccc2)C1,
CHEMBL325238,c1ccc(CCCCN2CCC(c3ccccc3)CC2)cc1,
